_url,name,company_size,industry,about_us,website,founded,company_type,specialties,headquarters_city,headquarters_province,headquarters
https://www.linkedin.com/company/neerlandsvlak/,.NLVK,11-50 employees,Marketing & Advertising,"Creatief bureau voor mensen en merken. 
Altijd oorspronkelijk, vanuit een nieuw vlak. 
We gaan altijd voor inhoud en waarde. Luisteren naar onze opdrachtgevers, maar verrassen je graag met een eigen signatuur. 
Kritisch en nuchter werken we aan oplossingen die substantiëel wat voor jou of voor je doelgroep verandert en betekent. Meer waarde.",http://www.nlvk.nl,2007.0,Partnership,"Grafisch ontwerp, huisstijl, marketing, periodieken, magazines, strategie, communicatie, organisatieverandering, online marketing , creatie, art direction, design, creatieve strategie, verandermanagement, branding, full service bureau, sparring partner, merknaamontwi",,,
https://www.linkedin.com/company/1-&-al-reclame-b.v./,1 & al reclame B.V.,11-50 employees,Marketing & Advertising,"1 & al reclame B.V. is a marketing and advertising company based out of Zompstraat 31, RAALTE, Netherlands.",http://www.1enalreclame.nl,,,,,,
https://www.linkedin.com/company/123telcom-b.v./,123Telcom B.V.,11-50 employees,Telecommunications,"123Telcom B.V. is a telecommunications company based out of Capitool 10, ENSCHEDE, Netherlands.",http://www.123telcom.nl,,,,,,
https://www.linkedin.com/company/1incloud/,1InCloud B.V.,2-10 employees,Information Technology & Services,"Uw IT in de cloud?

Met 1InCloud kiest u voor hoge beschikbaarheid, flexibiliteit en een zorgeloze IT, en kiest uw tegelijkertijd ook voor duurzaamheid en lagere kosten.

1inCloud beschikt over een duurzaam Cloud- en Big Data platform in een eigen duurzaam datacenter van waaruit klanten en partners Cloud-, Big Data & Analytics- en Contentdiensten op klimaat neutrale wijze kunnen afnemen.

 Niet alleen wordt daarmee bijgedragen aan de ambities en doelstellingen die organisaties steeds vaker stellen aan duurzaam- en maatschappelijk verantwoord ondernemen, maar het brengt tegelijkertijd ook nog eens een enorm kostenvoordeel met zich mee en besparen klanten daarmee minimaal 25% op de kosten door significante energiebesparingen.

www.1inCloud.com",http://www.1inCloud.com,2015.0,Privately Held,"Cloud-, Big Data & Analytics en Content Cloud diensten, Bijdrage aan MVO ambities van klanten, Diensten aangeboden vanuit een eigen, klimaatneutraal datacenter, Door energievoordeel significant lagere kosten",,,
https://www.linkedin.com/company/1transvir/,1TransVir B.V.,2-10 employees,Information Technology & Services,"1TransVir  Duurzaam, zorgeloos en voordelig.

Uw IT in de cloud? Het ‘cloudsourcen’ van uw IT is een verstandige keuze, immers werken in de cloud, betekent werken zonder zorgen. 

En kiest u voor 1TransVir? Dan kiest u niet alleen voor een datacenter en datacenter diensten die hoge beschikbaarheid, flexibiliteit en een zorgeloze IT kan bieden, maar kiest u tegelijkertijd ook voor duurzaamheid en lagere kosten.

Niet alleen wordt daarmee bijgedragen aan de ambities en doelstellingen die organisaties steeds vaker stellen aan duurzaam en maatschappelijk verantwoord ondernemen, maar het brengt tegelijkertijd ook nog eens een enorm kostenvoordeel met zich mee.

 1TransVir is als klimaatneutraal datacenter gekwalificeerd als uw partner om Cloud- , Big Data & Analytics en Content Cloud diensten te verzorgen. 

Het fundament van onze dienstverlening is ons eigen datacenter in Deventer. Door gebruik te maken van een uniek en energiezuinig koelsysteem, opwek van eigen stroom en gebruikmakend van windenergie is 1TransVir in staat tot 60% energie te besparen en CO2 uitstoot tot een minimum te beperken.

1TransVir biedt klanten de volgende voordelen:
 
• Minimaal 25% goedkoper dan andere aanbieders
• Duurzaam en klimaatneutraal
• Ondersteunt uw MVO doelstellingen
• Hoge beschikbaarheid, eenvoudige migratie
• Geen investeringen in hard- en software
• Betaal voor gebruik principe.

Vanuit ons datacenter bieden we datacenter oplossingen en managed services. Ook voor Cloud, Big Data & Analytics en Content Cloud diensten alsmede technisch applicatiebeheer kunt u bij ons terecht. 

www.1TransVir.com",http://www.1TransVir.com,2015.0,Privately Held,"Duurzaam en klimaatneutraal datacenter, Value for Money, 24x7- continuiteit, Databeveiliging",,,
https://www.linkedin.com/company/1twente/,1Twente,201-500 employees,Broadcast Media,"Bij 1Twente hoor en zie je dagelijks de laatste actualiteiten uit Twente. Wij zijn te vinden op televisie, radio en online.",https://www.1twente.nl,2013.0,Nonprofit,"Radiostation, Televisiestation, Online media",Enschede,Overijssel,"Enschede, Overijssel"
https://www.linkedin.com/company/20face/,20face,11-50 employees,Computer Software,Privacy Proof Biometrics | GDPR Compliant,http://www.20face.com/,2016.0,Privately Held,"Face recognition R&D, Automated surveillance and security, Smart home applications, Automated identity verification and access-control",Enschede,Overijssel,"Enschede, Overijssel"
https://www.linkedin.com/company/24dutch-nl/,24dutch.nl,2-10 employees,Information Technology & Services,24dutch assists companies with IT services: IT Business Development or IT recruiting or IT purchasing,http://www.24dutch.nl,2001.0,Privately Held,"IT, Strategic Purchasing, Sales, Business Development, IT recruiting",Enschede,overijssel,"Enschede, overijssel"
https://www.linkedin.com/company/twenty-four-ict/,24ICT Projecten B.V.,2-10 employees,Information Technology & Services,De koers naar werkende ICT,http://www.24ict.nl,2008.0,Privately Held,"Onafhankelijk Advies, Project and processmanagement, Second opinion, Interim Management, Cloud Computing, Technische Consultancy en software ontwikkeling, Document management systemen",Barendrecht,Zuid Holland,"Barendrecht, Zuid Holland"
https://www.linkedin.com/company/25knots/,25Knots,0-1 employees,Information Technology & Services,"Freelance software engineer. Web development: PHP, Symfony, Drupal and managing development teams.",,2017.0,Self-Employed,"Drupal, PHP, Symfony, Behat, Webdevelopment",,,
https://www.linkedin.com/company/djurict/,2app,0-1 employees,Information Technology & Services,"2app provides full service web- and mobile application development services in cooperation with several business partners. 
Because our wide range of experience with platforms like Wordpress (CMS), Symfony 2 (for tailor-made web applications), OpenCart (webshops) and much more we can also help improve and/or rebuild your existing applications.",http://www.2app.nl,2008.0,Public Company,"Webdevelopment, Smartphone application development, Mac OS X support, mobile development, Responsive Web, Agile development, device agnostic, apps",Enschede,Overijssel,"Enschede, Overijssel"
https://www.linkedin.com/company/2bebetter/,2bebetter,0-1 employees,Computer Software,"Where you stop... we'll enter the game. 

Application development and market introduction of GPS2 (Golf Play Statistics using the Global Positioning System). A system that enables users to record their playing performance on the golf course, using the GPS2 Outdoor application on a weatherproof GPS receiver. And to upload these parameters into a webbased GPS2 Indoor application to be able to observe a round of golf previously played and to generate various trends based on large numbers of data.",http://www.2bebetter.com,,Privately Held,,,,
https://www.linkedin.com/company/2d3d/,2D3D.gratis,0-1 employees,Computer Software,Inspiratie en training in goede gratis software. Digitale creativiteit zonder de belemmering van taal en geld. #maakiets,https://www.2d3d.gratis/,2016.0,Nonprofit,,Zwolle,Overijssel,"Zwolle, Overijssel"
https://www.linkedin.com/company/2jours-on-line-bouwen/,2Jours B.V.,2-10 employees,Computer Software,De calculatiesoftware voor in de bouw.,http://www.2jours.nl,2006.0,Public Company,"Calculatie, Digitaal aanvragen, Planning, Facturatie, Bouw, Software",Raalte,Overijssel,"Raalte, Overijssel"
https://www.linkedin.com/company/2ran-solutions/,2RAN IT,2-10 employees,Information Technology & Services,"Z-Wave products are wireless communications products where convenience comes first. You can control devices via a controller (making a scene / rules), such as lights, door locks, sensors, etc. .. the possibilities are endless. - See more at: http://ranco.nl/z-wave-english/",http://ranco.nl/,2011.0,Self-Employed,"Fiber, FTTh, FTTx, Home/Business Automation, Z-Wave Products",Enschede,OV,"Enschede, OV"
https://www.linkedin.com/company/2xplain/,"2Xplain PayRoll, vakinformatie voor salarisprofessionals",11-50 employees,Information Services,"2Xplain is de specialist in informatievoorziening voor HR- en salarisprofessionals. Dat specialisme is geboren uit de overtuiging dat ons vakgebied veel te gecompliceerd is om aan generalisten over te laten. Eind 1997 waren het dan ook enkele vakgenoten zelf die het initiatief namen om de ingewikkelde regelgeving in begrijpelijke en heldere taal te gaan uitleggen. 

Nu, bijna 25 jaar later, heeft 2Xplain het grootste aanbod aan kennis- en vaardigheidstrainingen, een ruime keuze aan leergangen en vakopleidingen, een zeer complete online kennisbank met actuele regelgeving op het gebied van loonadministratie, arbeidsrecht, sociale zekerheid, pensioenen en internationale aspecten . Daarnaast vindt u in deze kennisbank altijd alle actuele bedrijfstak- en ondernemingscao’s. En ook het vakblad PayRoll Magazine, waarmee alles 20 jaar geleden begon, is nog altijd een hoog gewaardeerde, inmiddels grotendeels digitale informatiebron. De wekelijkse  PayRoll e-mailnieuwsbrief is voor LinkedIn-contacten geheel gratis.

De vakinformatie van 2Xplain

1. Vakopleidingen

PDL
VPS

2. Informatiebronnen

PayRoll Magazine Online
Online kennisbanken
   Inleiding recht
   Loonadministratie
   Pensioenen
   Arbeidsrecht
   Sociale verzekeringen
   Internationale aspecten
   CAO-databank

3. Bijscholen en up to date blijven

Het grootste aanbod aan praktijkgerichte studiedagen, vaardigheidstrainingen en leergangen, waarin tal van specifieke onderwerpen worden uitgediept.",https://www.2xplain.nl/payroll,1998.0,Educational Institution,"Vakinformatie voor HR- en salarisprofessionals and Studiedagen, leergangen en vakopleidingen voor HR- en salarisprofessionals",Deventer,Overijssel,"Deventer, Overijssel"
https://www.linkedin.com/company/360sportsintelligence/,360SportsIntelligence,11-50 employees,Computer Software,"360SportsIntelligence vindt dat iedere sporter die beter wil worden, ongeacht zijn of haar niveau, toegang moet hebben tot eigen beeldmateriaal. Naast prestatieverbetering draagt 360SportsIntelligence ook bij aan het vergroten van de sportbeleving, door zichtbaarheid in kantine en online. Dit biedt unieke content voor sponsoren, waardoor je als vereniging nieuwe inkomsten genereert.

360SportsIntelligence heeft een oplossing ontwikkeld waarbij gebruiksgemak, brede inzetbaarheid binnen de club en betaalbaarheid de uitgangspunten zijn. 360SportsIntelligence biedt een oplossing voor zowel de prestatieve als de recreatieve sporter. Hardware en software. Performance, entertainment én sponsormogelijkheden. All-in. Geen gedoe met individuele licenties, maar één abonnement voor de hele vereniging.",http://www.360sportsintelligence.com,,Public Company,,Enschede,Overijssel,"Enschede, Overijssel"
https://www.linkedin.com/company/3c--automatisering-bv/,3C+ Automatisering BV,2-10 employees,Computer Software,"3C+ Automatisering BV richt zich op bedrijven die werkzaam zijn in de Bouw - en de Constructieve sector. Door gebruik te maken van onze software, beschikken deze bedrijven over de juiste hulpmiddelen om meer grip en inzicht te krijgen in de eigen bedrijfsprocessen. Hierbij zal er efficienter gewerkt gaan worden en zal tevens de kwaliteit van het bedrijfsproces verbeteren. Onze medewerkers hebben al meer dan 10 jaar ervaring in het automatiseren van deze bedrijfsprocessen. Dankzij onze ervaring en flexibiliteit zijn wij heel goed in staat om hierbij op-maat oplossingen te bieden die zo goed mogelijk aansluiten op uw organisatie, wensen en behoeftes.",http://www.3cplus.nl,2010.0,Self-Employed,"Automatisering, Beton Prefab, Bouw, Constructief, Logistiek, ICT",,,
