person,position,company,last_updated
OfKLLnPUhPxytrfS,Partner,Talent Netwerk Nederland,2021-06-07
sdgprBtZURngTfUrIt,Associate professor (Data Driven Business | People Analytics),HU University of Applied Sciences Utrecht (Hogeschool Utrecht),2021-06-07
QygGaebM,Accountmanager,De Vos diensten b.v.,2021-06-07
fvKtNtJhbVz,Business Development Manager,AELS - Aircraft End-of-Life Solutions,2021-06-07
hTzDPqlDfDNUn,Graduate Research Student,Little Rocket I Data + digitale innovatie,2021-06-07
xIkWjHPUkeHw,"Digital Account Manager, Petroleum",Publicis Groupe,2021-06-07
WOeFWaGrqPowvT,Human Resources | Employer Branding,Flowmundo Digital Marketing,2021-06-07
aUekFmAcwTeegi,Directeur,Industriële Kring Twente (IKT),2021-06-07
mdwsuLFLGAJ,Eigenaar en grafisch ontwerper,Pepe Creatieve Communicatie,2021-06-07
QzSqQxgufsNJP,Lid van de GMR,Scholengroep IJsselgraaf,2021-06-07
SrNmYIDpySpg,Sales and Marketing Director,Innovadis BV,2021-06-07
zmmUFgmmnsLe,Digital Marketing Lead,Koninklijke Grolsch,2021-06-07
ThzNWAKLXWzmJvS,Freelance Digital Designer,Rick Bossenbroek Ontwerp,2021-06-07
vtrpwuhrpcrX,Strategisch communicatie adviseur Twente Board,Twente Board,2021-06-07
iLoZBJQtgcCx,Technical Lead,Little Rocket I Data & Digital Innovation,2021-06-07
nMZgtdkjQZOd,Data Science Intern,Nuclei Technologies,2021-06-07
mozNUWuapZYjcKgOTKiot,Associate - Tech Lead,Cognizant Technology Solutions,2021-06-07
vUxKFuPGtxn,BBQ events | Catering | BBQ trainer | Coach | BBQ winkel | Eigenaar | Directeur,Kolenboertje De BBQ Specialist,2021-06-07
GaFFYVGZWKc,Project Manager,Little Rocket I Data & Digital Innovation,2021-06-07
KnpJhflTpPBLFa,Projectleider Ondernemend Onderwijs / Ondernemerscoach,Ondernemerslab Twente,2021-06-07
KsvMTfkUQLTmEr,CDO,Allcancode Inc.,2021-06-07
MHdLMfLfB,Internship Trainee at Little Rocket,Little Rocket I Data & Digital Innovation,2021-06-07
bQIcRmWFTMwGyAFt,Directeur,Nederlands Interieur Instituut,2021-06-07
wOXGPLPLimooAv,Servicemedewerker,Shell,2021-06-07
OMSrYtwmK,innovatie consultant,Novel-T,2021-06-07
dxpITrrgdQmMku,Directieassistent,Little Rocket | Data + digitale innovatie,2021-06-07
kkdmgFvVzsUy,Stuurman aan wal,Buro Matthijs,2021-06-07
yzqhNIkqMToWDek,Founder | Managing Director,Get Responsive,2021-06-07
cjIcZldNgpSzyc,Business Intelligence Consultant and Architect,PeryTUS IT Solutions,2021-06-07
zwNWiPdxggpPlC,Mede-eigenaar wearespock.nl,We Are Spock,2021-06-07
ssFxyQIXsNQdIT,Content Creator,Siemar B.V.,2021-06-07
CcRLXRlFrB,SEO Business Director,Mindshare,2021-06-07
xvvOwUkTsSbMnaQVv,Communicatieadviseur & communitymanager,Open Up communicatie,2021-06-07
VrxZbycvtYAtSUV,Sales Director,TP-Link Enterprises Netherlands B.V. ,2021-06-07
ySOIEnREbacdEwBlL,Teammanager Analyse,Menzis,2021-06-07
CgyTxCjcWkSdvuPd,"Projektmanager PR, Marketing und Kommunikation","Content Company, Agentur für Kommunikation GmbH",2021-06-07
xSosjDoxrgwZBuNC,Affiliate Marketeer,e-Boekhouden.nl,2021-06-07
OdixTMbDuLRM,Digital Marketeer B2B,Jool Software Professionals,2021-06-07
lrDKKurgX,Vulploegmedewerker,Albert Heijn,2021-06-07
OtmBfGHpIIoC,Eigenaar ,Markvoort Online,2021-06-07
fZWHqiqBm,Persönliche Assistentin,BP EUROPA SE,2021-06-07
MguTEcnTNeNqm,Optimum consultant,NEXR®,2021-06-07
rCTrOSIomhO,Consultant IT Assurance & Advisory ,KPMG Nederland,2021-06-07
SgSTIuxZhlkZ,Magazijnmedewerker,Afrika Natuursteen,2021-06-07
XrGhyxoMQkwJ,Digital Designer,Wordlenig,2021-06-07
hGMFuEsYleFJt,Co-Founder,Codekrakers,2021-06-07
UWzPNPNggtYS,"Manager marketing, communication & events",Novel-T,2021-06-07
TQOiVKvDiTwrl,Founder,No Code Founders,2021-06-07
RKBMhuDtuXz,Chief Digital Officer,Exite ICT,2021-06-07
KNmCPThojuOeD,Calculator,Quinn Energy,2021-06-07
PZmYTATvOsmJXcCP,Software Developer,Little Rocket | #1 Data Bureau - Analytics (Emerce 2021),2021-06-07
BVsSMhLwWuEopVHU,Senior Software Engineer,Wipro Limited,2021-06-07
PoXzUdXxETDJIxmk,Afstudeerproject,Baseflow,2021-06-07
JnkCuDLtOLhvj,Business Engineer,BNR-Quality,2021-06-07
ELhnuUFi,Sales medewerker,IKEA Nederland,2021-06-07
yEjzbArVOBv,Mede-eigenaar,WiQhit,2021-06-07
xyJJgXnktaLutbrxQDmGNMJTysTejmpxWcdUGlpecgBHbmEBXjnS,"freelance Muziek, Media, Politiek journalist",Peter Schavemaker Tekstproducties,2021-06-07
rbELOetLvFgwFc,IT Consultant,Remote-IT,2021-06-07
iLycgSJNSuear,Digital consultant,Webton,2021-06-07
gVebdNE,Instructeur BHV en EHBO,Velco Brandveiligheid,2021-06-07
tKcLjfuiMHMpYm,Creatief strateeg en eigenaar bij January,January,2021-06-07
tZQdqoQZI,Data Scientist,Asito,2021-06-07
QhMlxbgLa,Google Ads specialist,Beyond Online,2021-06-07
oGZoXSFMMMSNKM,Voorzitter ,Adviescollege toetsing regeldruk,2021-06-07
JxNRXqUzdIw,Co Owner,Radish Concepts BV,2021-06-07
oDSHxnhqJvdzFe,Oprichter,Videokantoor,2021-06-07
TUmTqfthVU,"Founder | Partnerships, Marketing en Sales",Belco B.V.,2021-06-07
iDgEuyWClCaIKDUM,Zelfstandige,ORGE Sport Events,2021-06-07
uRuHvHAXSOYAPeV,Officemanager voor de verhuizing,Little Rocket | Data + digitale innovatie,2021-06-07
ogDXklkbiXghVUjI,Partner Development Manager,Microsoft,2021-06-07
eTZcmOrpsvvSJ,Mede-oprichter,Performance Based Healthcare,2021-06-07
SdXvUpYwdbuUdb,adviseur ondernemersondersteuning,Kamer van Koophandel,2021-06-07
DiTXuiaYny,Unit Lead,Markant Internet,2021-06-07
OKHmVdOSGUZxe,Data Scientist,Little Rocket | Data + digitale innovatie,2021-06-07
MLPTIrxGmrakdsHvBgL,Manager ICT,Aqua+ Sprinklersystemen B.V.,2021-06-07
SiMKWgpxSXgYATf,Webdeveloper,Remgro Web en ICT Oplossingen,2021-06-07
wQLCKBGbuzYQUH,Business Intelligence Specialist,Qredits Microfinanciering Nederland,2021-06-07
pWVBDqWoBpC,Senior Financial Specialist,KienhuisHoving advocaten en notarissen,2021-06-07
AogrBEXrbXWSCE,Technical Analytics Manager,antwerpes ag,2021-06-07
DueUHupWSYxBEBz,Student-Assistent,Rijksuniversiteit Groningen,2021-06-07
TEWtGJSAnmSE,Werkzoekendenbegeleider,Gemeente Enschede,2021-06-07
HQJvdxqJLyNSR,Director Business Events,Event Creators,2021-06-07
rwwdnIgZaZrU,Founder & CEO,Qubiz,2021-06-07
ZexvIIzIgNy,Business Consultant,Gladior,2021-06-07
bICPTJdrZHoQxi,Digital Fleet Marketing Advisor Europe,bp,2021-06-07
PAIwjXHvTIlU,Startup Scout and Research Intern,TNW,2021-06-07
zzNGLbata,Business Consultant,TheRecruitBoosters.,2021-06-07
HGMcPGTHii,Zakelijk directeur | plv. algemeen directeur,Rijksmuseum Twenthe,2021-06-07
EGvnBXggHNko,Chief Data Science,DIKW Intelligence,2021-06-07
InvDSQUGYstps,Online marketing,LegionellaDossier,2021-06-07
nwLZTkdYvHDEXNRO,Senior Consultant en Teamlead van ons Team ICT & Digitale Innovatie,Leap. The Innovation Agency,2021-06-07
WSOrqPT,Mede-eigenaar / Specialist duurzaam luchtdicht bouwen,Multifast Holland B.V.,2021-06-07
yBSsiSJlEacn,Founder & Owner,Innomads ,2021-06-07
BnlQOwlSZNWXUvgkuMVHTBR,Partner,Vlotte Tantes,2021-06-07
kNVgwxbrKFaWstLp,Art and research driven by AI,www.jeroenvandermost.com,2021-06-07
ihftYhAaGXjt,Business Development & Marketing,Super B Lithium Power B.V.,2021-06-07
kGqKpleciygdtp,Teamlead Digital Optimization,Greenhouse,2021-06-07
wMqOVNKzXMOULONKh,Online Marketeer,Centraal Beheer,2021-06-07
tZQhBaPOlziCu,VP Europe operations,"Untappd, Inc",2021-06-07
tpDcEXAaDFYNTd,Owner,Definition of Ready,2021-06-07
lbhRvgBTVcwUwEx,Eigenaar,du Gardijn Groep B.V.,2021-06-07
jDLMSNcYkiSimirHm,Marketing und Öffentlichkeitsarbeit/PR,Event Creators,2021-06-07
bVUIwwSHe,Head Sommelier,Landgoed De Wilmersberg,2021-06-07
rhRyUTgfLZUTa,Afstudeerstagiaire,Heutink Groep,2021-06-07
dNukfQbMD,Accountmanager ,FC Twente,2021-06-07
koPTvDxsAP,Accountmanager,Brick Zero,2021-06-07
eTVGsjZkppJVrR,Product Owner,Adwise - Your Digital Brain,2021-06-07
vYFifShg,Eigenaar,TexTown Games,2021-06-07
coNKklgiKqaY,Manager Operations,EsperantoXL,2021-06-07
iLGnkqSuIpOVHnFr,Web Developer,Vorm & Vorm creatieve media,2021-06-07
BPrHjVgdFPfWHt,Operationeel Directeur,Velco Brandveiligheid,2021-06-07
wTZNmUMKmLX,Technical UX/CRO consultant/speaker; focus on Lighthouse / Web Vitals / sitespeed and accessibility,ErwinHofman.com,2021-06-07
uMQvOQTUAaIeZH,Account Supervisor,Saatchi & Saatchi IS.,2021-06-07
fgcsPVDqfMKY,Software Engineer,WePublish,2021-06-07
PTBlhjCGmDXGfU,Accountmanager Cadeaukaarten,wehkamp,2021-06-07
BKduMfCojrdFEkBcDqZ,"Hospitality en Event Manager, freelance",IntoEvents,2021-06-07
uNBxmHiAfqeWXpU,Consultant,HEYDAY Facility Management,2021-06-07
vQVsxGalvSsNoMyZ,Founder ,DAYLEE - online personalisatie ,2021-06-07
qpZuLzBQWOOIpH,Assistent-professor,Wageningen University & Research,2021-06-07
KEjPANFDZNyyVUw,Organisatiepsycholoog | teamcoach,Doorpak BV,2021-06-07
xINHJTyvrZzvjRQW,Afdelingshoofd directie analyse en strategie,Ministerie van Veiligheid en Justitie,2021-06-07
QutDmJxjFx,Manager,Accenture Interactive,2021-06-07
VVfmfcLltsDgMElPTdFnIYKfk,Productiemedewerker,KOBATO BV,2021-06-07
vKpXDCKZ,Organisatiepsycholoog,Doorpak BV,2021-06-07
YZMeVKEveXf,Medior Customer Care medewerker,Parantion,2021-06-07
xHFCTpQsxJOUe,Fleet Marketing Advisor NL & BE (B2B),bp,2021-06-07
YbeppFdzrYwhqewHHV,Enthousiaste en gedreven accountmanager,Findesk,2021-06-07
prgVzCdOSEAlAU,Managing Director,StoreKeeper,2021-06-07
DGuyEunsRT,Performance Manager Digital Marketing,Adwise - Your Digital Brain,2021-06-07
YVUYfdenBk,Eigenaar,KLOF ,2021-06-07
UgsyclFrebm,Directeur,Stichting Webwinkelkeur,2021-06-07
