city,municipality
Aadorp,Almelo
Almelo,Almelo
Bavinkel,Almelo
Bornerbroek,Almelo
Mariaparochie,Almelo
Tusveld,Almelo
Borne,Borne
Hertme,Borne
Weleveld,Borne
Zenderen,Borne
't Loo,Dinkelland
Agelo,Dinkelland
Beekdorp,Dinkelland
Berghum,Dinkelland
Breklenkamp,Dinkelland
Denekamp,Dinkelland
Deurningen,Dinkelland
Dulder,Dinkelland
Gammelke,Dinkelland
Groot Agelo,Dinkelland
Het Stift,Dinkelland
Klein Agelo,Dinkelland
Lattrop,Dinkelland
Lattrop-Breklenkamp,Dinkelland
Lemselo,Dinkelland
Noord Deurningen,Dinkelland
Noordijk,Dinkelland
Nutter,Dinkelland
Ootmarsum,Dinkelland
Oud Ootmarsum,Dinkelland
Rossum,Dinkelland
Saasveld,Dinkelland
Tilligte,Dinkelland
Volthe,Dinkelland
Weerselo,Dinkelland
Zoeke,Dinkelland
Boekelo,Enschede
Broekheurne,Enschede
Enschede,Enschede
Glanerbrug,Enschede
Lonneker,Enschede
Rutbeek,Enschede
Twekkelo,Enschede
Usselo,Enschede
Achterhoek,Hof van Twente
Ambt delden,Hof van Twente
Azelo,Hof van Twente
Bentelo,Hof van Twente
Beusbergen,Hof van Twente
Delden,Hof van Twente
Deldenerbroek,Hof van Twente
Deldeneresch,Hof van Twente
Diepenheim,Hof van Twente
Elsen,Hof van Twente
Elsenerbroek,Hof van Twente
Goor,Hof van Twente
Hengevelde,Hof van Twente
Herike,Hof van Twente
Markelo,Hof van Twente
Markvelde,Hof van Twente
Pothoek,Hof van Twente
Schoolbuurt,Hof van Twente
Stokkum,Hof van Twente
Wiene,Hof van Twente
Zeldam,Hof van Twente
Brammelo,Haaksbergen
Buurse,Haaksbergen
Den Braam,Haaksbergen
Eppenzolder,Haaksbergen
Haaksbergen,Haaksbergen
Harmöle,Haaksbergen
Honesch,Haaksbergen
Langelo,Haaksbergen
Sint Isidorushoeve,Haaksbergen
Stepelo,Haaksbergen
Daarle,Hellendoorn
Daarlerveen,Hellendoorn
Eelen,Hellendoorn
Egede,Hellendoorn
Haarle,Hellendoorn
Hankate,Hellendoorn
Hellendoorn,Hellendoorn
Hexel,Hellendoorn
Hulsen,Hellendoorn
Marle,Hellendoorn
Nijverdal,Hellendoorn
Noetsele,Hellendoorn
Overwater,Hellendoorn
Piksen,Hellendoorn
Rhaan,Hellendoorn
Schuilenburg,Hellendoorn
Beckum,Hengelo
Driene,Hengelo
Hengelo,Hengelo
Oele,Hengelo
Beuningen,Losser
De Lutte,Losser
de Lutte,Losser
Glane,Losser
Glane-Beekhoek,Losser
Losser,Losser
Mekkelhorst,Losser
Overdinkel,Losser
Deurningen,Oldenzaal
Oldenzaal,Oldenzaal
Beuseberg,Rijssen-Holten
Borkeld,Rijssen-Holten
Dijkerhoek,Rijssen-Holten
Espelo,Rijssen-Holten
Helhuizen,Rijssen-Holten
Holten,Rijssen-Holten
Ligtenberg,Rijssen-Holten
Look,Rijssen-Holten
Neerdorp,Rijssen-Holten
Rijssen,Rijssen-Holten
Albergen,Albergen
Fleringen,Albergen
Geesteren,Albergen
Haarle,Albergen
Harbrinkhoek,Albergen
Hezingen,Albergen
Klössehoek,Albergen
Langeveen,Albergen
Mander,Albergen
Manderveen,Albergen
Mariaparochie,Albergen
Reutum,Albergen
Tubbergen,Albergen
Vasse,Albergen
West Geesteren,Albergen
Bruinehaar,Twenterand
De Pollen,Twenterand
Den Ham,Twenterand
Geerdijk,Twenterand
Hallerhoek,Twenterand
Kloosterhaar,Twenterand
Linde,Twenterand
Magele,Twenterand
Meer,Twenterand
Noord-Meer,Twenterand
Sibculo,Twenterand
Vriezenveen,Twenterand
Vroomshoop,Twenterand
Weitemanslanden,Twenterand
Westerhaar-Vriezenveensewijk,Twenterand
De Kolonie,Wierden
Enter,Wierden
Het Loo,Wierden
Hoge Hexel,Wierden
Huurne,Wierden
Notter,Wierden
Rectum,Wierden
Wierden,Wierden
Ypelo,Wierden
Zuna,Wierden
